id,title,prompt,style_tags
1,Neon Tokyo Rain,"A rain-soaked Tokyo alley at night, neon signs reflecting on wet asphalt, holographic advertisements floating in fog, cyberpunk aesthetic, cinematic lighting, ultra detailed, 8k","neon,rain,tokyo,street"
2,Neural Interface,"A close-up of a human skull with glowing neural implants, circuit board patterns etched into bone, cyan and magenta bioluminescence, dark background, hyperrealistic","neural,implant,biotech,dark"
3,Megacity Skyline,"An endless cyberpunk megacity at dusk, towering arcologies with thousands of lit windows, flying vehicles in neon trails, smog layer at mid-height, cinematic wide shot","city,skyline,aerial,dusk"
4,Ghost in the Shell,"A translucent female android standing in digital rain, fragmented body revealing circuitry inside, teal and gold color palette, ethereal atmosphere","android,ghost,digital,ethereal"
5,Cyber Samurai,"A lone samurai in neon-lit armor standing on a rooftop, katana glowing electric blue, rain-soaked city below, fog rolling in, cinematic composition","samurai,warrior,rooftop,blue"
6,Data Cascade,"Abstract visualization of cascading data streams forming a human silhouette, green and white binary rain, deep black background, Matrix-inspired","data,matrix,abstract,green"
7,Corporate Dystopia,"Massive corporate towers dominating a skyline, holographic logos projected onto clouds, workers in the dark streets below, oppressive atmosphere","corporate,dystopia,contrast,power"
8,Synthwave Sunset,"Retrowave sunset with purple and pink gradient sky, chrome palm trees, grid landscape extending to horizon, vintage sports car silhouette","synthwave,retro,sunset,purple"
9,Augmented Eye,"Extreme close-up of a human eye with augmented reality overlays, targeting reticle, data readouts reflected on iris, amber and blue tones","eye,AR,augment,close-up"
10,Underground Market,"A bustling underground black market, vendor stalls with glowing merchandise, diverse crowd with cybernetic enhancements, warm amber lights against dark tunnels","market,underground,crowd,amber"
11,Hacker Den,"A cluttered hacker workspace with multiple holographic screens, code floating in air, empty energy drink cans, blue-white glow in darkness","hacker,workspace,screens,clutter"
12,Drone Swarm,"Hundreds of surveillance drones flying in formation over a city at night, red indicator lights forming patterns, viewed from below","drone,swarm,surveillance,red"
13,Biotech Lab,"A sterile cyberpunk laboratory with vats of glowing green liquid, human organs in stasis, robotic arms working, cold clinical atmosphere","lab,biotech,science,green"
14,Street Punk,"A cyberpunk street punk with mohawk and facial augments, neon tattoos glowing, leather jacket, graffiti wall background, low angle shot","punk,street,portrait,graffiti"
15,Digital Ghost,"A woman phasing through a wall, body becoming pixelated and transparent at edges, cyan particle effects, dark urban background","ghost,phasing,digital,cyan"
16,Neon Pagoda,"A traditional Japanese pagoda rebuilt with neon tubes and holographic panels, floating in fog, cherry blossoms made of light","pagoda,japan,fusion,fog"
17,Chrome Desert,"A post-apocalyptic chrome desert landscape, rusted megastructures on horizon, sand storm approaching, lone figure walking away","desert,chrome,wasteland,storm"
18,Memory Upload,"A person jacked into a massive data node, streams of light flowing from their head into cyberspace, memories visible as color orbs","memory,upload,cyberspace,colorful"
19,Neon Alley Fight,"Two augmented fighters in a neon alley, motion blur on fists, sparks flying from cybernetic limbs, crowd watching from shadows","fight,action,neon,motion"
20,Synthetic Garden,"A rooftop garden in a cyberpunk city, plants with bioluminescent modifications, glass dome greenhouse, city lights below","garden,nature,rooftop,bioluminescent"
21,Police State,"A cyberpunk police checkpoint at night, armored officers scanning citizens, blue and red lights strobing, rain falling","police,checkpoint,authoritarian,rain"
22,Digital Oracle,"An ancient oracle reimagined as an AI, robes made of flowing data, eyes replaced with camera lenses, glowing runes","oracle,AI,mystical,data"
23,Void Walker,"A figure walking through a digital void, floor made of mirror-like data surface, infinite reflections, purple and black atmosphere","void,walker,infinite,mirror"
24,Cyber Geisha,"A geisha with a porcelain face cracked to reveal circuitry, traditional kimono with circuit board patterns, cherry blossoms and data streams","geisha,japan,fusion,cracked"
25,Orbital Platform,"A massive space station over a cyberpunk Earth, corporate logos visible from orbit, shuttles launching from city spires","orbital,space,station,earth"
26,Neural Storm,"An abstract visualization of a brain during overload, lightning-like neural signals firing across a dark void, electric blue and white","brain,neural,abstract,electric"
27,Back Alley Surgeon,"A cyberpunk street doctor performing augmentation surgery in a dimly lit alley, neon signs through dirty windows, medical equipment","surgeon,medical,alley,dim"
28,Neon Wolves,"A pack of cybernetic wolves prowling neon-lit streets, chrome and flesh hybrid forms, glowing eyes, mist rising from grates","wolves,cybernetic,animals,mist"
29,Quantum City,"A city that exists in multiple quantum states simultaneously, overlapping realities, ghostly double exposures, electric atmosphere","quantum,city,parallel,ghost"
30,The Architect,"A god-like AI manifesting as a floating figure made of golden code, constructing a city with its hands, viewed from below","AI,god,construct,golden"
31,Exosuit Battle,"Two massive exosuits clashing in a ruined cityscape, explosion light illuminating debris, dust clouds, heroic composition","exosuit,mech,battle,explosion"
32,Cyber Shaman,"A tribal shaman with technology woven into traditional garb, digital spirits visible around them, firelight mixed with holo-light","shaman,tribal,fusion,spirits"
33,Neon Submarine,"A sleek cyberpunk submarine cutting through bioluminescent deep ocean, massive structures on the ocean floor below","submarine,ocean,deep,bioluminescent"
34,Zero Gravity Market,"A marketplace module on a space station with goods floating freely, diverse alien-human crowd, colorful goods in zero-g","space,market,zero-g,colorful"
35,Corrupted Code,"An environment breaking down into corrupted pixels and glitch artifacts, reality tearing at the seams, red and black palette","glitch,corrupt,reality,red"
36,Ghost Market,"A black market for stolen memories and personalities, jars of colored light on shelves, sinister dealer in shadows","memory,market,sinister,colored"
37,Synthetic Dawn,"The sun rising over a cyberpunk city for the first time in days, golden light cutting through smog, people looking up in awe","dawn,sunrise,hope,golden"
38,Chrome Forest,"A forest where all organic material has been replaced with chrome and circuitry, metallic leaves catching synthetic light","forest,chrome,nature,metallic"
39,Mind Palace,"A visualization of someone navigating their own mind palace, floating rooms and corridors, memories as objects, dreamlike","mindscape,palace,dream,navigate"
40,Rebel Base,"An underground rebel headquarters carved into a city's foundation, maps and plans on walls, determined faces in firelight","rebel,underground,resistance,fire"
41,Neon Colosseum,"A futuristic colosseum where cyber-augmented gladiators fight, massive holographic screens showing replays, roaring crowd","colosseum,arena,gladiator,crowd"
42,Digital Shinto,"A Shinto shrine gate standing in a virtual landscape, torii made of light, digital kami spirits manifesting","shinto,shrine,spiritual,digital"
43,Overflow,"A city literally overflowing with data made visible, streets flooded with glowing information streams, citizens wading through light","overflow,data,flood,streets"
44,Cold Fusion,"A massive cold fusion reactor at the heart of a city, visible through a glass floor, city built around its power","reactor,energy,power,glass"
45,Silent Protocol,"A lone agent moving through a server room, laser grid security visible as red lines, stealthy posture, blue-green light","agent,stealth,server,laser"
46,Neon Labyrinth,"An infinite neon labyrinth viewed from above, tiny human figure at center, walls made of light, no visible exit","labyrinth,maze,neon,aerial"
47,Bio-Mechanical Heart,"A massive bio-mechanical heart pumping colored fluids through transparent tubes in a cathedral-like space, worshippers below","heart,biomech,cathedral,worship"
48,Last Human,"The last natural human on Earth stands in a museum exhibit, looking out at a world of androids, poignant lighting","human,museum,solitude,poignant"
49,Cascading Failure,"A city experiencing a cascading system failure, lights flickering out in sequence, panic in the streets, one small light remaining","failure,blackout,panic,dark"
50,New Genesis,"The moment of a new AI awakening, digital big bang expanding outward, universe of information being born, sublime scale","genesis,AI,birth,cosmic"
51,Android Awakening,"A female android sitting up for the first time, eyes opening with electric blue light, chrome body reflecting a dark laboratory, cables still attached, cinematic close-up, 8k","android,portrait,dark,awakening"
52,Ronin Ghost,"A ghostly samurai warrior fading between dimensions, translucent body flickering with static, neon city street at night, dramatic backlight, 8k","samurai,ghost,warrior,neon"
53,Cyber Huntress,"A female bounty hunter in sleek black armor crouching on a rooftop, targeting scope glowing red, rain-soaked city below, teal rim lighting, 8k","huntress,female,armor,rain"
54,Neural Halo,"A close-up portrait of a person with a glowing halo of neural interface rings floating around their head, data streams visible, dark background, 8k","portrait,neural,halo,dark"
55,Chrome Knight,"A towering armored knight made entirely of polished chrome and circuits, sword crackling with electricity, fog-covered ruins, 8k","knight,armor,chrome,electric"
56,Synthetic Soul,"A cracked android chest revealing a glowing human heart inside, hands pressed against the crack, emotional close-up, warm light against dark background, 8k","android,heart,emotion,contrast"
57,Cyber Oni,"A Japanese oni demon reimagined as a cybernetic being, glowing horns replaced with antenna arrays, traditional mask fused with metal, 8k","oni,japan,demon,fusion"
58,Ghost Dancer,"A dancer mid-leap with their body dissolving into light particles and data streams, dark stage, dramatic spotlight, ethereal motion, 8k","dancer,ghost,motion,ethereal"
59,Neon Assassin,"A cloaked assassin emerging from digital camouflage in a neon-lit corridor, blade drawn, perfect stealth posture, cyan and purple tones, 8k","assassin,stealth,neon,corridor"
60,Broken Doll,"A cracked porcelain-faced android with exposed wiring beneath, sitting abandoned in a dark room, single spotlight, melancholic mood, 8k","doll,android,broken,melancholy"
61,Cyber Valkyrie,"A winged female warrior with mechanical wings made of blades and light, hovering over a burning cyberpunk city, epic scale, 8k","valkyrie,wings,female,warrior"
62,Data Wraith,"A skeletal figure made entirely of flowing data and code, haunting a server room corridor, green monochrome glow, horror aesthetic, 8k","wraith,skeleton,data,horror"
63,Street Oracle,"An elderly woman with glowing eyes sitting cross-legged on a neon street, holographic cards floating around her, mystical and grounded, 8k","oracle,elder,street,mystical"
64,Mech Pilot Portrait,"Extreme close-up of a mech pilot's face inside a cockpit, helmet visor reflecting a battlefield, focused expression, dramatic lighting, 8k","pilot,portrait,cockpit,reflection"
65,Cyber Fox Spirit,"A fox with nine tails made of light and circuitry, standing at the entrance of a digital torii gate, mist and neon, 8k","fox,spirit,japan,neon"
66,Shattered Identity,"A person standing before a mirror that shows a different face, the mirror cracking and glitching with digital artifacts, dark surreal mood, 8k","identity,mirror,glitch,surreal"
67,Chrome Empress,"A regal female figure on a throne of circuit boards and cables, crown of glowing antennae, city lights visible through tall windows behind her, cinematic lighting, 8k","empress,royalty,female,throne"
68,Neon Monk,"A Buddhist monk in robes made of flowing data, meditating in a neon temple, digital prayer beads, serene and futuristic, 8k","monk,spiritual,neon,meditate"
69,Cyber Predator,"A sleek hunter creature made of black chrome and red light, crouching on a rooftop above prey, predatory stillness, 8k","predator,creature,dark,hunter"
70,Last Detective,"A trench-coated detective examining holographic crime scene evidence in a rain-soaked alley, noir cyberpunk aesthetic, 8k","detective,noir,rain,hologram"
71,Neon Geisha Bot,"A mechanical geisha with an elaborate LED headdress performing a traditional dance, cherry blossom petals made of light, 8k","geisha,robot,dance,japan"
72,Cyber Saint,"A religious figure with a halo replaced by a circular HUD display, robes embedded with circuits, stained glass made of screens behind, 8k","saint,religious,fusion,halo"
73,Wraith Rider,"A motorcycle rider whose body is partially transparent, speed ghost effect, neon streak trails behind, dark highway, 8k","rider,motorcycle,ghost,speed"
74,Digital Witch,"A witch casting spells through a holographic interface, digital grimoire floating, dark forest reimagined as server farm, 8k","witch,magic,digital,dark"
75,Iron Geisha,"A towering mech suit designed with traditional geisha aesthetics, elegant and deadly, cherry blossoms falling, 8k","mech,geisha,japan,elegant"
76,Neon Ruins,"A vast cyberpunk cityscape of abandoned skyscrapers overtaken by glowing vines and bioluminescent plants, aerial view, dusk, 8k","ruins,city,nature,aerial"
77,Signal Lost,"A lone communications tower in a flooded plain, red warning lights blinking, storm clouds and lightning above, isolated mood, 8k","tower,storm,isolated,signal"
78,Fractured Skyline,"A city skyline reflected in shattered glass fragments, each fragment showing a different time of day, surreal composition, 8k","skyline,fractured,surreal,reflection"
79,Underground River,"A secret underground river beneath a cyberpunk city, bioluminescent water, ancient stone meets modern tech, mysterious, 8k","underground,river,bioluminescent,mystery"
80,Holo Storm,"A massive holographic storm system visible above a city, citizens watching from rooftops, awe and dread, epic scale, 8k","storm,hologram,epic,city"
81,Abandoned Mech,"A giant rusted mech suit abandoned in a jungle, nature reclaiming it, glowing eyes still faintly active, melancholic, 8k","mech,abandoned,nature,rust"
82,Neon Cathedral,"The interior of a cathedral where stained glass has been replaced with live holographic displays, congregation in silhouette, 8k","cathedral,neon,interior,holy"
83,Data Ocean,"An endless ocean where waves are made of flowing data instead of water, lone boat navigating streams of light, 8k","ocean,data,surreal,abstract"
84,Sky Fortress,"A massive aerial fortress floating above clouds, searchlights scanning below, fighter drones in formation, military scale, 8k","fortress,aerial,military,epic"
85,Final City,"The last surviving city on Earth enclosed in a protective dome, outside is wasteland, inside is glowing and alive, 8k","city,dome,survival,contrast"
